aba	kapa
abacate	abakati
abacaxi	ananas
abaixar	djungutu
abaixo	bas di
abandonado	bandonadu
abandonar	bandona
abater	bati
abdômen	bariga
abelha	bagera
abençoar	bensua
abertura	abertura
abóbora	bobra
aborrecer	burisi
aborrecido	nervozu
abortar	tira bariga
aborto	bariga sai
aborto	abortu
abraçar	barsa
abrigar	moranta
abrigo	abrigu
abril	abril
abrir	yabri
abscesso	materia
abster	dixa
abundante	abundanti
abundar	abunda
abuso	abuzu
abutre	djugudi
acabado	kabadu
acabamento	kabantada
acabar	kaba
acalmar	kalma
acampamento	kampamentu
acampar	kampa
acariciar	da kariñu
acaso	akazu
aceitação	setason
aceitar	seta
acenar	sana
acender	sindi
acertar	serta
aceso	sindidu
achar	odja
achatar	mopi
acidentar	kauza asidenti
acidente	asidenti
ácido	asidu
acima	riba
acinzentado	sinzentu
aço	asu
acolá	la
acolher	risibi
acolhida	risibidu
acompanhar	kumpaña
aconselhar	konsidja
acordado	kordadu
acordar	korda
acordo	akordu
acostumado	kustumadu
acostumar	kustumanta
acostumar	kustuma
açougue	sugi
açougueiro	bindidur di karni
acreditar	kredita
açúcar	sukru
acumular	djunta kusas
acusar	akuza
adequado	diritu
adequar	djusta
adeus	adeus
adição	adison
adicionar	disiona
adivinhar	dibiña
admirar	dimira
admitir	adimiti
adoçar	dosa
adoecer	duensi
adolescência	badjudesa
adoração	adorason
adorador	adoradur
adorar	adora
adornar	fadja
adquirir	dikiri
adubar	struma
adubo	dubu
adultério	adulteriu
adulto	adultu
advogado	avogado
aeroporto	kampu di aviason
afastar	fasta
afiado	moladu
afiar	mola
afogar	foga
afrouxar	folga
afugentar	fuganta
afundar	funda
agachar	djungutu
agarrar	gara
ágil	rapidu
agilidade	rapides
agir	atua
agitação	muvimentu
agitar	sakudi
agitar	bana
agora	gosi
agosto	agostu
agradável	bon
agradecer	gardisi
agradecimento	gardisimentu
agredir	kai gera
agressão	manera di rimiti kontra
agricultor	labradur
agricultura	agrikultura
agrupado	runidu
agrupar	runi
água	yagu
água de arroz cozido	mambereti
aguçar	pui un kusa fika gudu
agudo	gudu
águia	agia
agulha	gudja
ajoelhar	finka djudju
ajudar	djuda
ajustar	djusta
ajuste	nogosiason
alagar	lagua
alaranjado	larandja
alça	mon
alcançar	yangasa
álcool	alkol
aldeia	aldea
alegrar	kontenta
alegre	kontenti
alegria	alegria
aleijado	alejadu
além	fora
alface	alfas
algodão	algudon
alguém	algin
algum	algun
alho	adju
ali	li
alimentação	alimentason
alimentar	kumenti
alinhar	aliña
aljava	bolsa di bala di flexa
alma	alma
almoço	djanta
alojamento	morada
alojar	nstala
alongamento	alongamentu
alongar	longanta
alteração	mudansa
alterar	altera
alternado	trokadu
alternar	trokia
alto	altu
alto	tchamidu
embriagado	tchamidu
altura	altura
aluno	alunu
alvejar	brankisi
alvo	branku
alvorecer	mansir di sol
amaciar	molisi
armadilha	armadidja
amadurecer	fika maduru
amadurecido	kusidu
amaldiçoar	da praga
amamentar	mamanta
amanhã	amaña
amanhecer	mansi
amante	kaza-dus
amar	ama
amarelado	sta amarelu
amarelecer	pul pa i sta amarelu
amarelo	amarelu
amargar	fika malgos
amargo	malgos
amargura	amargura
amarrado	maradu
amarrar	mara
amarrotar	marlota
amassado	masadu
amassar	masa-masa
ambos	tudu dus
ameaça	amiasa
ameaçar	roka
amendoim	mankara
amiga	amiga
amigo	amigu
amolado	moladu
amolar	mola
amolecer	molisi
amontoar	djunta kusas riba di n'utru
amor	amor
ampliar	amplia
amplo	largu
amuleto	tchifri di iran
anão	anon
ancestral	garandis
anciã	mindjer garandi
ancião	omi garandi
âncora	fundiadera
andaime	ndaimi
andar	yanda
andarilho	yandadur
anel	anel
anexar	djunta
angústia	angustia
angustiado	angustiadu
animal	limaria
anjo	andju
ano	anu
anoitecer	sol na noti
ansioso	turmentadu
ante	anti di
antebraço	brasu di mon
antena	antena
anteontem	unturdia
antepassado	antigus
anterior	antirior
antes	antis
antigamente	antigamenti
antigo	antigu
antílope	gazela
anual	anual
anunciar	anunsia
anunciar uma morte	konta tchur
anúncio	banu
ânus	koba di bunda
anzol	ansol
apagar	paga letra
aparafusar	parafusa
aparecer	parsi
aparição	aparison
apático	disinteresadu
apelidar	da nomi
apelido	manteña
apertado	pertadu
apertar	perta
apertar	kalka boton
apertar	da mon
apicultor	bagereru
apicultura	kriason di bagera
apitar	pita
apito	pitu
aplacar	kalma
aplainar	plania
aplicar	puli
apodrecer	podrisi
apoio	apoiu
apoio para a cabeça	turbuseru
apontar	tchuli
após	dipus
apreender	aprindi
aprender	prindi
apressado	turmentadu
apressar	djanti
aprofundar	bai mas fundu
apropriado	propi
apropriar	toma
apropriar	tudji ku
aproveitar	pirbita
aproximação	pertusi
aproximar	pertusi
aquecer	kenta
aquele	kil
aquém	fora
aqui	li
aquilo	kil
ar	ar
arado	radi
arame	arami
aranha	araña
arar	labra
arbusto	arvuri pikininu
arco	arku
arco-íris	arku di bedja
área rural	tabanka
areia	reia
arenoso	kau ku tene reia manga del
arfar	basa fulgu
argamassa	masa
argila	baru
argumentar	kombersa
argumento	manera di kombersa
aridez	seku
arma	arma
armadilha	armadidja
armadura	armadura
armar	monta
armazém	armasen
armazenagem	manera di rakada
armazenar	rakada
arquear	dobra
arranhão	rañadura
arranjar	randja
arrastar	rasta
arrebatar	rabata
arrebentar	rabenta
arredondar	redonda
arregaçar	ragasa
arreio	kau di sinta na kabalu
arremessar	fertcha
arremetida	rimitidu
arrepiar	rapia
arriar	rianta
arrotar	rota
arroz	arus
arruinado	danadu
arruinar	dana
arrumar	ruma
artéria	arteria
articulação	artikulason
articulação	kontrada di os
árvore	arvuri
as	elis
às vezes	as bes
asa	aza
ascendente	djorson
ascender	sibi
áspero	aspru
assado	yasadu
assaltar	asalta
assalto	asaltu
assar	yasa
assassinar	asasina
assassinato	mortu
assassino	asasinu
assemelhar	parsinti
assento	turpesa
assim	asin
assinalar	sinala
assistência	asistensa
assistir	sisti
assoar	sua
assobiar	subia
assobio	sibiu
assombração	kasisa
assoviar	subia
assustado	pantadu
assustar	panta
atacar	taka
ataque	ataki
atar	mara
até	te
até logo	te logu
atenção	atenson
atender	atindi
atender	kudi telfoni
atender	obi pididu
atendimento	atindimentu
aterrisar	ria
atiçar	tisa
atingir	yangasa
atirar	fugia
atirar	fertcha ku arku
ativo	ativu
atolar	ntola
atoleiro	mantchukut
ator	otor
atrair	atrai
atrapalhar	tarpadja
atrás	tras
atrasar	traza
atraso	trazu
através de	atraves di
atravessar	trabesa
atravessar	fura
atravessar	kamba puntu
atrofiado	manku
atuar	atua
aula	aula
aumentar	omenta
aurora	mandurgada
ausência	falta
avermelhar	burmedja
avestruz	avestrus
avião	avion
avidez	faimadesa
ávido	faimadu
avisar	aviza
aviso	avizu
avó	dona femia
avô	dona matchu
avós	donas di mame
axila	sabaku
azar	mufunesa
azedar	azeda
azedo	azedu
azul	azul
azulado	zuladu
babuíno	santchu
bacia	basia
bagatela	bakatela
bagunceiro	disorganizadu
bainha	baiña
baixo	baxu
balaio	balai
balança	balansu
balanço	balansu
balbuciar	gagisa
balde	baldu
bambu	bambu
banana	banana
bananeira	pe di banana
banco	banku
bandeira	bandera
bandido	bandidu
bando	grupu
banhar	baña
banheiro	kuartiñu
banquinho	bankusiñu
baobá	pe di kabasera
baqueta	po di toka
baralho	baradju
barata	barata
barato	baratu
barba	barba
barbante	barbanti
barbatana	lemi di pis
barbeador	jileti
barbear	barbia
barbeiro	barberu
barco	barku
barra	bara
barraca	baraka
barrar	bara
barriga	bariga
barril	baril
barro	lama
base	bazi
bastante	bastanti
bastão	po
bastar	djusta
bastardo	fidju padidu ku utru mindjer
batalhão	batalion
batata	batata
batata-doce	batata-dos
bate-papo	papia
bater	bati
bater	madja
bater	suta
bater	konki porta
bater	toka tambur
bater palmas	rapika palmu
bater papo	papia
bateria	bataria
baterista	tokadur di bataria
batismo	batismu
bêbado	tchamidur
bebê	bebe
beber	bibi
bebida	bibida
beiço	bis
beijar	beja
beijo	beju
beira	bera
beira-rio	bera di riu
beirada	bera
beliscar	ñopoti
belo	belu
bem	ben
bem-estar	sta ben
bênção	benson
bengala	bingala
beringela	birindjela
besouro	rola-pipa
bexiga	bixiga
bezerra	fidju femia di baka
bezerro	bakasiñu
bicar	tchupiti
bicicleta	biskleta
bico	boka
bifurcação	dibidimentu
bigode	bigodi
bílis	fel
bisavó	turtudona
bisavô	turtudona
bobeira	patarata
bobina	bobina
bobo	tulu
boca	boka
bocado	bokadu
bocejar	yabri boka
bocejo	manera di yabri boka
bochechar	sukuma yagu na boka
bócio	papu garandi
bode	bodi
boi	baka
bola	bola
bolha	bolon
bolsa	barkafon
bolso	bolsu
bom	bon
bomba	bumba
bombolom	bumbulun
bondade	bontadi
bondoso	limpu korson
boné	tchapeu
bonito	bonitu
borboleta	burbuleta
borda	roda
bordado	bordadu
bordar	borda
bordejar	burdia
borracha	buraxa
borrifar	burfa
bosque	matu
bosta	bosta
bota	bota
braço	brasu
branco	branku
brancura	branku fandan
branquear	brankia
brasa	brasa
bravo	brabu
brejo	bulaña
briga	djus
brigar	geria
branquear	brankia
brilhante	brilianti
brilhar	lampra
brilho	briliu
brincadeira	brinkadera
brincalhão	tchalasadur
brincar	brinka
brinco	brinku
brisa	briza
bronze	bronzi
bronzeado	kubridu ku bronzi
bronzear	fasi di bronzi
brotar	nansi
broto	udju
brusco	brutu
bruxa	futsera
bruxaria	futisndadi
búfalo	bufre
bule	buli
bunda	bunda
buraco	buraku
burburinho	n'guni n'guni
burro	buru
busca	buska
buscar	buska
busto	mama
cabana	djemberen
cabana	baraka
cabeça	kabesa
cabeceira	kabesa di kama
cabeleireiro	tisidur di kabelu
cabelo	kabelu
cabelo	kabelu di pintidju
cabelo	kabelu firmi
cabisbaixo	kabesa mpinadu
cabo	kabu
cabra	kabra
cabrito	kabritu
caça	kasa
caça	sukundi-sukundi
caçada	kasa
caçador	montiadur
caçar	montia
cacarejar	kanta kokoroko
cacarejo	kokoroko
cacete	manduku
cachecol	kaskol
cachimbo	kañutu
cachoeira	katarata
cachorrinho	katchuriñu
caco	kaku
cada	kada
cadáver	dufuntu
cadeia	kalabus
cadeira	asentu
cadeira	kareta di duenti
cadela	katchur-femia
caderno	kadernu
café	kafe
café da manhã	matabitchu
cafezal	plantason di kafe
cagar	pupu
câimbra	kaiambra
cair	kai
caixa	kaxa
caixão	kaxon
cal	kal
calar	kala
calça	kalsa
calcanhar	kalkañada
calcinha	kalsiña
caldo	kaldu
calma	kalma
calmaria	kalma
calmo	kalmu
calor	kalur
calúnia	kalunia
caluniar	kalunia
calvície	kareka
cama	kama
camaleão	kamalion
camarão	kamaron
cambalear	singa-singa
cambalhota	kangaluta
câmbio	kambiu
camelo	kamelu
caminhão	kamion
caminhar	yanda
caminho	kamiñu
camisa	kamisa
campainha	kampaiña
campeão	kampion
campo	kampu
campo	kampu
campo	kampu garandi
camponês	labradur
cana	kana
cana-de-açúcar	kana-di-asukar
canal	kanal
canção	muzika
candeeiro	kanderu
caneca	kaneka
canela	kanela
canela	kabaku di po
caneta	kaneta
canhão	kañon
canino	dinti di udju
